Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
1503960366,2016-03-13,1,411,426
1503960366,2016-03-14,1,354,386
1503960366,2016-03-15,1,312,335
1503960366,2016-03-16,2,333,366
1503960366,2016-03-17,1,402,437
1503960366,2016-03-18,1,379,411
1503960366,2016-03-19,1,447,468
1503960366,2016-03-20,1,469,476
1503960366,2016-03-21,1,390,427
1503960366,2016-03-23,1,281,297
1503960366,2016-03-24,1,303,344
1503960366,2016-03-25,1,351,386
1503960366,2016-03-26,2,481,519
1503960366,2016-03-27,2,439,459
1503960366,2016-03-28,1,73,77
1503960366,2016-03-29,1,349,378
1503960366,2016-03-31,1,308,336
1503960366,2016-04-01,1,283,306
1503960366,2016-04-02,1,439,509
1503960366,2016-04-03,1,379,426
1503960366,2016-04-04,1,294,337
1503960366,2016-04-05,1,280,309
1503960366,2016-04-09,1,380,407
1503960366,2016-04-10,1,455,478
1503960366,2016-04-11,1,310,329
1644430081,2016-03-27,1,839,961
1644430081,2016-03-29,1,594,961
1844505072,2016-04-03,1,940,961
1844505072,2016-04-09,1,498,961
1927972279,2016-03-11,1,544,558
1927972279,2016-03-12,2,416,433
1927972279,2016-03-13,2,246,257
1927972279,2016-03-14,1,109,111
1927972279,2016-03-15,1,68,68
1927972279,2016-03-16,3,599,645
1927972279,2016-03-17,1,151,160
1927972279,2016-03-18,2,760,795
1927972279,2016-03-19,2,439,465
1927972279,2016-03-20,2,644,678
1927972279,2016-03-22,1,379,394
1927972279,2016-03-23,2,577,604
1927972279,2016-03-24,1,298,307
1927972279,2016-03-25,1,60,63
1927972279,2016-03-26,1,387,406
1927972279,2016-03-27,1,331,346
1927972279,2016-03-28,1,370,388
1927972279,2016-03-29,1,193,204
1927972279,2016-03-30,2,401,404
1927972279,2016-03-31,3,862,903
1927972279,2016-04-02,1,280,315
1927972279,2016-04-03,1,393,405
1927972279,2016-04-04,1,179,189
1927972279,2016-04-05,1,393,420
1927972279,2016-04-06,1,414,429
1927972279,2016-04-09,1,163,171
1927972279,2016-04-10,2,727,773
1927972279,2016-04-11,1,483,493
1927972279,2016-04-12,1,123,129
2022484408,2016-03-13,1,135,144
2026352035,2016-03-11,1,509,544
2026352035,2016-03-12,1,610,640
2026352035,2016-03-13,1,518,537
2026352035,2016-03-14,1,503,534
2026352035,2016-03-15,1,106,111
2026352035,2016-03-16,1,486,508
2026352035,2016-03-17,1,553,588
2026352035,2016-03-18,1,554,589
2026352035,2016-03-19,1,531,575
2026352035,2016-03-20,1,540,577
2026352035,2016-03-21,1,516,549
2026352035,2016-03-22,1,578,600
2026352035,2016-03-23,1,564,619
2026352035,2016-03-24,1,501,532
2026352035,2016-03-25,1,535,565
2026352035,2016-03-26,1,555,590
2026352035,2016-03-27,1,519,555
2026352035,2016-03-28,1,483,510
2026352035,2016-03-29,1,492,542
2026352035,2016-03-30,1,464,514
2026352035,2016-03-31,1,560,584
2026352035,2016-04-01,1,515,569
2026352035,2016-04-02,1,528,580
2026352035,2016-04-03,1,538,591
2026352035,2016-04-04,1,508,537
2026352035,2016-04-05,1,491,541
2026352035,2016-04-06,1,493,550
2026352035,2016-04-07,1,510,550
2026352035,2016-04-08,1,516,561
2026352035,2016-04-09,1,501,562
2026352035,2016-04-10,1,509,554
2026352035,2016-04-11,1,503,546
2347167796,2016-03-11,1,413,436
2347167796,2016-03-12,1,532,561
2347167796,2016-03-13,1,484,538
2347167796,2016-03-14,1,435,477
2347167796,2016-03-15,1,136,159
2347167796,2016-03-16,2,827,886
2347167796,2016-03-18,2,622,727
2347167796,2016-03-19,1,483,536
2347167796,2016-03-20,1,472,508
2347167796,2016-03-21,1,472,504
2347167796,2016-03-22,1,466,504
2347167796,2016-03-23,1,452,513
2347167796,2016-03-24,1,384,431
2347167796,2016-03-27,1,484,557
2347167796,2016-03-28,1,453,509
2347167796,2016-03-29,1,490,529
2347167796,2016-03-30,1,486,534
2347167796,2016-03-31,1,495,529
2347167796,2016-04-02,2,855,937
2347167796,2016-04-03,1,505,550
2347167796,2016-04-04,1,473,536
2347167796,2016-04-05,1,402,463
2347167796,2016-04-07,1,450,481
2347167796,2016-04-09,1,516,563
2347167796,2016-04-10,1,456,516
3977333714,2016-03-13,1,304,475
3977333714,2016-03-14,2,556,799
3977333714,2016-03-15,1,205,315
3977333714,2016-03-16,1,363,496
3977333714,2016-04-01,1,297,430
3977333714,2016-04-02,1,199,290
3977333714,2016-04-03,1,222,359
3977333714,2016-04-04,1,205,374
3977333714,2016-04-05,1,378,486
3977333714,2016-04-06,1,296,426
3977333714,2016-04-07,1,221,405
3977333714,2016-04-08,1,305,480
3977333714,2016-04-09,1,273,418
3977333714,2016-04-10,1,293,452
3977333714,2016-04-11,1,282,415
4020332650,2016-03-12,2,575,639
4020332650,2016-03-13,1,314,323
4020332650,2016-03-14,1,265,290
4020332650,2016-03-15,1,331,341
4020332650,2016-03-16,1,459,493
4020332650,2016-03-17,1,374,407
4020332650,2016-03-30,2,366,387
4020332650,2016-03-31,1,259,268
4020332650,2016-04-01,3,743,770
4020332650,2016-04-02,1,185,188
4020332650,2016-04-03,2,387,399
4020332650,2016-04-04,1,463,478
4020332650,2016-04-06,1,245,257
4020332650,2016-04-10,1,286,286
4020332650,2016-04-11,1,214,226
4319703577,2016-03-11,1,572,593
4319703577,2016-03-12,1,373,390
4319703577,2016-03-14,1,483,515
4319703577,2016-03-15,1,509,541
4319703577,2016-03-16,1,489,522
4319703577,2016-03-17,1,513,542
4319703577,2016-03-18,1,419,447
4319703577,2016-03-19,1,473,507
4319703577,2016-03-20,1,489,538
4319703577,2016-03-22,1,510,528
4319703577,2016-03-23,1,405,424
4319703577,2016-03-24,1,488,516
4319703577,2016-03-25,1,570,610
4319703577,2016-03-27,2,1047,1092
4319703577,2016-03-28,1,362,391
4319703577,2016-03-29,2,640,680
4319703577,2016-03-31,1,372,393
4319703577,2016-04-01,2,604,622
4319703577,2016-04-02,1,569,579
4319703577,2016-04-03,1,456,476
4319703577,2016-04-04,1,466,496
4319703577,2016-04-05,1,500,532
4319703577,2016-04-06,2,948,1017
4445114986,2016-03-12,2,361,381
4445114986,2016-03-13,1,348,353
4445114986,2016-03-15,2,487,560
4445114986,2016-03-16,3,388,418
4445114986,2016-03-17,1,217,231
4445114986,2016-03-19,1,137,156
4445114986,2016-03-20,2,539,552
4445114986,2016-03-21,1,195,209
4445114986,2016-03-22,2,344,360
4445114986,2016-03-24,2,380,405
4445114986,2016-03-25,2,325,344
4445114986,2016-03-26,1,156,166
4445114986,2016-03-27,1,318,325
4445114986,2016-03-28,2,359,376
4445114986,2016-03-29,2,442,478
4445114986,2016-03-31,2,360,416
4445114986,2016-04-01,1,311,337
4445114986,2016-04-02,1,469,495
4445114986,2016-04-05,1,465,496
4445114986,2016-04-06,1,431,450
4445114986,2016-04-07,1,262,268
4445114986,2016-04-08,2,219,233
4445114986,2016-04-09,3,391,443
4445114986,2016-04-10,2,347,369
4445114986,2016-04-11,2,395,428
4445114986,2016-04-12,1,308,332
4558609924,2016-03-30,2,286,292
4558609924,2016-04-02,1,360,364
4702921684,2016-03-11,1,477,501
4702921684,2016-03-12,1,296,301
4702921684,2016-03-13,1,435,457
4702921684,2016-03-14,1,426,440
4702921684,2016-03-15,1,461,487
4702921684,2016-03-16,1,476,490
4702921684,2016-03-17,1,425,454
4702921684,2016-03-21,1,437,465
4702921684,2016-03-22,1,427,463
4702921684,2016-03-23,1,428,459
4702921684,2016-03-24,1,463,489
4702921684,2016-03-25,1,469,493
4702921684,2016-03-26,1,78,78
4702921684,2016-03-27,3,874,916
4702921684,2016-03-28,1,395,412
4702921684,2016-03-29,1,405,432
4702921684,2016-03-30,1,447,457
4702921684,2016-03-31,1,398,415
4702921684,2016-04-01,1,540,566
4702921684,2016-04-02,1,568,589
4702921684,2016-04-03,1,445,481
4702921684,2016-04-04,1,405,441
4702921684,2016-04-05,1,431,449
4702921684,2016-04-06,1,453,467
4702921684,2016-04-07,1,439,469
4702921684,2016-04-09,2,794,968
4702921684,2016-04-10,2,269,280
4702921684,2016-04-11,1,224,229
5553957443,2016-03-12,3,707,760
5553957443,2016-03-13,3,1010,1127
5553957443,2016-03-14,1,338,388
5553957443,2016-03-15,1,378,425
5553957443,2016-03-17,2,311,336
5553957443,2016-03-18,1,105,115
5553957443,2016-03-21,1,144,154
5553957443,2016-03-22,1,526,575
5553957443,2016-03-23,1,249,297
5553957443,2016-03-24,1,364,418
5553957443,2016-03-25,1,607,675
5553957443,2016-03-26,3,348,377
5553957443,2016-03-27,4,1245,1407
5553957443,2016-03-28,1,347,391
5553957443,2016-03-30,2,683,773
5553957443,2016-03-31,1,365,389
5553957443,2016-04-02,2,791,903
5553957443,2016-04-03,2,1066,1200
5553957443,2016-04-04,1,413,452
5553957443,2016-04-05,1,366,393
5553957443,2016-04-06,1,370,406
5553957443,2016-04-07,1,382,423
5553957443,2016-04-09,2,619,686
5553957443,2016-04-10,2,962,1068
5553957443,2016-04-11,1,441,464
5577150313,2016-03-11,1,481,513
5577150313,2016-03-12,2,455,478
5577150313,2016-03-13,1,360,380
5577150313,2016-03-14,1,432,457
5577150313,2016-03-15,2,507,532
5577150313,2016-03-16,2,464,487
5577150313,2016-03-17,1,418,438
5577150313,2016-03-18,1,126,131
5577150313,2016-03-19,2,767,804
5577150313,2016-03-20,2,593,636
5577150313,2016-03-22,1,476,518
5577150313,2016-03-23,2,466,506
5577150313,2016-03-24,1,230,239
5577150313,2016-03-25,2,304,308
5577150313,2016-03-26,2,665,712
5577150313,2016-03-27,1,379,405
5577150313,2016-03-28,2,474,506
5577150313,2016-03-29,1,378,387
5577150313,2016-03-30,2,522,561
5577150313,2016-03-31,1,404,414
5577150313,2016-04-01,1,131,136
5577150313,2016-04-02,2,619,664
5577150313,2016-04-03,1,431,454
5577150313,2016-04-04,1,342,362
5577150313,2016-04-05,2,481,512
5577150313,2016-04-06,1,409,451
5577150313,2016-04-07,1,451,469
5577150313,2016-04-08,1,246,251
5577150313,2016-04-09,3,714,748
5577150313,2016-04-10,1,394,426
6117666160,2016-03-11,1,352,358
6117666160,2016-03-12,2,370,388
6117666160,2016-03-13,1,641,683
6117666160,2016-03-14,1,534,556
6117666160,2016-03-15,1,263,272
6117666160,2016-03-16,5,968,1022
6117666160,2016-03-17,1,567,613
6117666160,2016-03-18,2,234,247
6117666160,2016-03-19,3,471,504
6117666160,2016-03-20,2,1007,1035
6117666160,2016-03-21,1,397,429
6117666160,2016-03-23,3,1115,1251
6117666160,2016-03-24,2,578,604
6117666160,2016-03-26,3,733,764
6117666160,2016-03-27,1,199,218
6117666160,2016-03-28,1,373,390
6117666160,2016-03-29,1,204,216
6117666160,2016-03-30,2,448,458
6117666160,2016-03-31,2,242,257
6117666160,2016-04-01,3,1012,1052
6117666160,2016-04-05,2,499,523
6117666160,2016-04-06,1,584,618
6117666160,2016-04-09,3,435,467
6775888955,2016-03-11,1,487,513
6775888955,2016-03-13,1,627,682
6775888955,2016-03-15,1,119,122
6775888955,2016-03-18,1,278,300
6775888955,2016-03-19,1,387,403
6775888955,2016-03-21,1,364,405
6775888955,2016-03-25,1,368,428
6775888955,2016-03-27,1,363,407
6775888955,2016-03-28,3,454,504
6775888955,2016-03-31,1,290,307
6775888955,2016-04-01,1,439,465
6775888955,2016-04-06,2,492,519
6775888955,2016-04-07,2,224,239
6962181067,2016-03-11,1,415,430
6962181067,2016-03-12,1,595,613
6962181067,2016-03-13,1,402,426
6962181067,2016-03-14,1,355,383
6962181067,2016-03-15,1,381,413
6962181067,2016-03-17,2,802,849
6962181067,2016-03-19,2,930,953
6962181067,2016-03-20,1,433,447
6962181067,2016-03-22,3,1057,1072
6962181067,2016-03-23,1,497,513
6962181067,2016-03-24,1,510,535
6962181067,2016-03-26,1,476,487
6962181067,2016-03-27,2,905,954
6962181067,2016-03-28,2,523,535
6962181067,2016-03-30,2,821,841
6962181067,2016-03-31,2,633,652
6962181067,2016-04-02,1,399,415
6962181067,2016-04-03,2,900,967
6962181067,2016-04-05,2,819,894
6962181067,2016-04-06,1,416,423
6962181067,2016-04-07,1,422,424
6962181067,2016-04-09,2,434,455
6962181067,2016-04-10,2,807,835
6962181067,2016-04-12,1,366,387
7007744171,2016-03-14,1,87,88
7007744171,2016-03-24,1,62,67
7007744171,2016-03-26,1,57,64
7007744171,2016-03-30,1,63,64
7007744171,2016-04-02,1,56,69
7007744171,2016-04-03,1,70,73
7007744171,2016-04-05,1,66,70
7007744171,2016-04-07,1,63,66
7086361926,2016-03-12,2,557,567
7086361926,2016-03-13,1,401,416
7086361926,2016-03-14,1,425,434
7086361926,2016-03-16,2,800,827
7086361926,2016-03-20,1,460,466
7086361926,2016-03-21,1,521,535
7086361926,2016-03-23,1,440,459
7086361926,2016-03-25,1,281,288
7086361926,2016-03-26,1,311,329
7086361926,2016-03-27,1,68,69
7086361926,2016-03-28,1,610,642
7086361926,2016-03-29,1,466,503
7086361926,2016-03-30,2,453,492
7086361926,2016-03-31,2,815,847
7086361926,2016-04-01,1,566,603
7086361926,2016-04-05,1,482,494
7086361926,2016-04-06,1,461,472
7086361926,2016-04-07,1,492,511
7086361926,2016-04-09,1,466,487
7086361926,2016-04-10,1,429,441
7086361926,2016-04-11,1,514,525
8053475328,2016-03-29,1,498,501
8378563200,2016-03-11,1,558,590
8378563200,2016-03-12,2,453,530
8378563200,2016-03-13,2,415,451
8378563200,2016-03-14,1,364,398
8378563200,2016-03-15,1,480,521
8378563200,2016-03-17,2,823,887
8378563200,2016-03-18,2,591,618
8378563200,2016-03-19,1,469,505
8378563200,2016-03-21,2,667,698
8378563200,2016-03-22,2,448,481
8378563200,2016-03-23,1,348,382
8378563200,2016-03-24,1,429,448
8378563200,2016-03-25,1,66,71
8378563200,2016-03-26,3,1030,1116
8378563200,2016-03-27,1,351,365
8378563200,2016-03-28,1,425,453
8378563200,2016-03-29,1,441,467
8378563200,2016-03-30,2,451,489
8378563200,2016-03-31,2,435,462
8378563200,2016-04-01,2,382,413
8378563200,2016-04-02,3,769,831
8378563200,2016-04-03,1,362,384
8378563200,2016-04-04,1,417,436
8378563200,2016-04-05,2,417,442
8378563200,2016-04-06,2,399,423
8378563200,2016-04-07,3,457,489
8378563200,2016-04-08,1,251,282
8378563200,2016-04-09,2,215,277
8378563200,2016-04-10,2,802,846
8378563200,2016-04-11,1,338,356
8792009665,2016-03-27,1,391,420
8792009665,2016-03-28,1,389,407
8792009665,2016-03-29,1,196,205
8792009665,2016-03-30,2,442,459
8792009665,2016-04-01,2,480,504
8792009665,2016-04-03,1,479,517
8792009665,2016-04-04,2,566,595
8792009665,2016-04-05,1,384,414
8792009665,2016-04-06,1,427,463
8792009665,2016-04-07,1,446,475
8792009665,2016-04-08,2,424,447
8792009665,2016-04-09,3,601,638
